material,trial_id,items_used
Apple,1624,13
Apple,1625,8
Apple,1626,12
Apple,1627,15
Apple,1628,9
Apple,1629,12
Apple,1630,9
Apple,1631,14
Apple,1632,13
Apple,1633,7
Apple,1634,10
Apple,1635,8
Apple,1636,13
Apple,1637,9
Apple,1638,12
Apple,1639,11
Apple,1640,10
Apple,1641,11
Apple,1642,8
Apple,1643,12
Apple,1644,10
Apple,1645,10
Apple,1646,10
Apple,1647,7
Apple,1648,12
Apple,1649,11
Apple,1650,8
Apple,1651,10
Apple,1652,12
Apple,1653,11
Apple,1654,8
Apple,1655,8
Apple,1656,9
Apple,1657,10
Apple,1658,7
